8	3	A3	1	0	0	0	10
10	81	63	FE	94	FF	AC	FF
30	12	0	68	3F	4C	0	68
21	34	FF	0C	FE	A8	FE	A8
22	FE	A8	FE	44	FE	44	0
23	7E	FF	52	FE	F8	FE	6C
24	FE	6C	FE	6C	FE	8	FE
25	8	1	50	FF	AC	FF	2
26	FE	58	FE	44	FE	44	FD
27	E0	FD	E0	1	BB	FF	D1
28	FE	F5	FE	73	FE	55	FE
29	55	FD	F1	FD	F1	1	B2
2A	0	22	FF	78	FE	B0	FE
2B	56	FE	56	FD	F2	FD	F2
2C	1	C9	0	6B	FF	C1	FF
2D	2B	FE	C7	FE	9F	FE	3B
2E	FE	3B	1	FD	0	D1	0
2F	9	FF	69	FE	C9	FE	6F
20	FE	0B	FE	0B	1	49	0
21	63	0	9	FF	87	FF	19
22	FE	DD	FE	79	0	0	0
5	23	24	7	0	80	0	0
10	81	63	FE	79	1	7A	0
30	12	0	68	3F	4C	0	68
21	94	0	3A	FF	B8	FF	40
22	FF	18	FE	AA	FE	AA	1
23	8B	0	A5	0	4B	FF	C9
24	FF	51	FF	29	FE	BB	FE
25	BB	7	8	8	98	0B	B8
26	0E	10	0F	78	11	30	12
27	2C	13	C0	15	40	16	44
28	17	58	19	0	1A	90	1D
29	B0	1E	78	21	98	2	58
2A	2	BC	2	EE	3	20	3
2B	52	3	84	3	B6	3	D4
2C	0	0	0	0	0	0	0
2D	0	0	0	0	0	0	0
2E	0	0	0	0	0	0	0
2F	0	0	0	0	0	0	0
20	0	0	0	0	FF	88	FF
21	88	FF	88	FF	88	FF	88
22	FF	88	FF	88	0	0	0
5	23	24	7	80	80	0	0
10	81	63	FF	88	1	24	FF
30	12	0	68	3F	4C	0	68
21	30	FF	30	FF	30	FF	30
22	FF	30	FF	12	FF	12	1
23	28	FF	34	FF	34	FF	34
24	FF	34	FF	34	FF	16	FF
25	16	1	28	FF	34	FF	34
26	FF	34	FF	34	FF	34	FF
27	16	FF	16	1	28	FF	34
28	FF	34	FF	34	FF	34	FF
29	34	FF	16	FF	16	1	28
2A	FF	5C	FF	34	FF	34	FF
2B	34	FF	34	FF	16	FF	16
